,Close,High,Low,Open,Volume,Dividends,Stock Splits
2021-01-21,278.14,280.9,277.7,278.7,975300,0.0,0.0
2021-01-22,279.34,281.63,275.96,277.32,989200,0.0,0.0
2021-01-25,280.46,285.94,279.09,280.77,1469900,0.0,0.0
2021-01-26,274.61,281.44,274.04,280.88,985000,0.0,0.0
2021-01-27,273.8,277.39,272.79,274.41,1389300,0.0,0.0
2021-01-28,274.54,277.52,272.92,273.69,1398500,0.0,0.0
2021-01-29,268.52,271.32,265.03,271.31,1659000,0.0,0.0
2021-02-01,273.86,275.57,269.45,270.23,1321400,0.0,0.0
2021-02-02,281.07,283.05,275.47,276.21,2226000,0.0,0.0
2021-02-03,281.76,282.9,278.98,279.68,970600,0.0,0.0
2021-02-04,282.8,284.55,280.81,282.46,1298700,0.0,0.0
2021-02-05,279.93,285.43,279.72,284.22,1151500,0.0,0.0
2021-02-08,281.19,282.57,279.28,282.01,1588800,0.0,0.0
2021-02-09,284.61,287.3,279.25,280.14,1296500,0.0,0.0
2021-02-10,284.47,285.43,283.31,285.43,847200,0.0,0.0
2021-02-11,280.72,285.0,280.26,283.49,1018100,0.0,0.0
2021-02-12,278.6,282.48,277.42,279.68,654200,0.0,0.0
2021-02-16,272.52,279.32,272.27,278.14,1012300,0.0,0.0
2021-02-17,278.43,278.47,269.9,272.4,1039800,0.0,0.0
2021-02-18,279.06,279.92,276.43,277.13,718900,0.0,0.0
2021-02-19,278.48,279.99,277.59,279.61,1202800,0.0,0.0
2021-02-22,279.14,280.57,275.47,276.48,1261700,0.0,0.0
2021-02-23,279.83,285.34,276.99,281.51,1253400,0.0,0.0
2021-02-24,282.69,285.26,278.17,280.93,1141800,0.0,0.0
2021-02-25,282.84,287.14,280.9,282.01,1394100,0.0,0.0
2021-02-26,274.57,282.5,274.52,282.16,1156100,1.45,0.0
2021-03-01,276.27,280.01,275.41,275.41,1077300,0.0,0.0
2021-03-02,281.28,282.9,276.08,276.31,1802100,0.0,0.0
2021-03-03,281.58,287.11,280.52,281.01,848300,0.0,0.0
2021-03-04,280.08,286.08,278.03,281.93,1430600,0.0,0.0
2021-03-05,283.28,284.76,277.87,281.26,1007400,0.0,0.0
2021-03-08,287.72,292.0,283.89,285.62,1295900,0.0,0.0
2021-03-09,280.82,286.68,279.88,286.03,1304100,0.0,0.0
2021-03-10,282.43,284.42,278.54,281.78,985300,0.0,0.0
2021-03-11,281.87,283.44,279.86,281.85,874000,0.0,0.0
2021-03-12,284.11,285.53,283.3,284.75,932000,0.0,0.0
2021-03-15,287.83,288.75,285.48,286.2,835700,0.0,0.0
2021-03-16,287.92,289.42,283.65,287.83,815400,0.0,0.0
2021-03-17,292.38,296.78,288.87,288.87,1104000,0.0,0.0
2021-03-18,296.49,297.1,292.01,292.01,1022300,0.0,0.0
2021-03-19,290.57,297.91,290.53,297.09,2006800,0.0,0.0
2021-03-22,295.8,297.21,289.31,289.99,1187100,0.0,0.0
2021-03-23,295.74,298.81,294.78,294.78,1162900,0.0,0.0
2021-03-24,297.52,302.54,296.68,296.68,1077900,0.0,0.0
2021-03-25,302.37,303.14,297.76,298.57,1027200,0.0,0.0
2021-03-26,300.33,304.26,297.18,302.47,1052200,0.0,0.0
2021-03-29,304.22,307.04,300.97,300.97,907800,0.0,0.0
2021-03-30,303.78,305.68,302.72,304.13,893000,0.0,0.0
2021-03-31,304.68,305.32,301.51,302.78,1011800,0.0,0.0
2021-04-01,303.36,306.04,302.49,304.12,855200,0.0,0.0
2021-04-05,311.28,311.61,303.98,303.98,1166100,0.0,0.0
2021-04-06,311.76,312.84,307.94,308.77,796400,0.0,0.0
2021-04-07,314.41,314.68,310.55,313.23,933400,0.0,0.0
2021-04-08,316.43,317.59,313.46,313.46,969100,0.0,0.0
2021-04-09,320.04,320.69,316.67,317.0,1005700,0.0,0.0
2021-04-12,320.73,322.82,317.93,320.08,732100,0.0,0.0
2021-04-13,318.77,320.34,318.19,319.11,781100,0.0,0.0
2021-04-14,321.8,323.27,318.8,319.37,737100,0.0,0.0
2021-04-15,324.4,325.38,320.64,321.82,850500,0.0,0.0
2021-04-16,326.14,327.44,323.54,326.28,1867300,0.0,0.0
2021-04-19,324.45,326.91,322.72,326.67,817500,0.0,0.0
2021-04-20,324.92,326.31,323.06,324.6,800300,0.0,0.0
2021-04-21,325.28,326.25,323.42,324.9,748700,0.0,0.0
